,,,,Pitches ,Zone,Swing,Contact,SwStr,CallStr,Foul,CSW,Whiff/Sw ,F-Strk,Putaway,Heart,Shadow,Chase,Waste
"Hjelle, Sean's CH",3065 pitches for 778 pitchers,Change-up (CH),Pitcher Pitch,8,100.0%,87.5%,75.0%,12.5%,12.5%,37.5%,25.0%,14.3%,0.0%,0.0%,12.5%,100.0%,0.0%,0.0%
"Kelley, Trevor's SL",3065 pitches for 778 pitchers,Slider (SL),Pitcher Pitch,8,100.0%,75.0%,75.0%,0.0%,12.5%,50.0%,12.5%,0.0%,12.5%,0.0%,37.5%,162.5%,0.0%,0.0%
"Knehr, Reiss's CH",3065 pitches for 778 pitchers,Change-up (CH),Pitcher Pitch,8,100.0%,100.0%,87.5%,25.0%,0.0%,37.5%,25.0%,25.0%,12.5%,33.3%,25.0%,175.0%,0.0%,0.0%
"Lakins Sr., Travis's CU",3065 pitches for 778 pitchers,Curve (CU/KC),Pitcher Pitch,8,100.0%,50.0%,37.5%,12.5%,50.0%,12.5%,62.5%,25.0%,37.5%,0.0%,37.5%,112.5%,0.0%,0.0%
"Lee, Dylan's CH",3065 pitches for 778 pitchers,Change-up (CH),Pitcher Pitch,8,100.0%,75.0%,75.0%,0.0%,0.0%,37.5%,0.0%,0.0%,0.0%,100.0%,12.5%,162.5%,0.0%,0.0%
"Lee, Evan's CH",3065 pitches for 778 pitchers,Change-up (CH),Pitcher Pitch,8,100.0%,75.0%,75.0%,0.0%,25.0%,25.0%,25.0%,0.0%,0.0%,,50.0%,50.0%,0.0%,0.0%
"Long, Sam's SI",3065 pitches for 778 pitchers,Sinker (SI/FT),Pitcher Pitch,8,100.0%,25.0%,12.5%,12.5%,75.0%,0.0%,87.5%,50.0%,75.0%,,25.0%,100.0%,0.0%,0.0%
"Loup, Aaron's CU",3065 pitches for 778 pitchers,Curve (CU/KC),Pitcher Pitch,8,100.0%,75.0%,50.0%,25.0%,25.0%,25.0%,50.0%,33.3%,25.0%,66.7%,50.0%,75.0%,0.0%,0.0%
"Mejía, J.C.'s SL",3065 pitches for 778 pitchers,Slider (SL),Pitcher Pitch,8,100.0%,37.5%,25.0%,12.5%,37.5%,12.5%,50.0%,33.3%,25.0%,33.3%,50.0%,75.0%,0.0%,0.0%
"Menez, Conner's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,8,100.0%,37.5%,37.5%,0.0%,37.5%,25.0%,37.5%,0.0%,0.0%,50.0%,50.0%,62.5%,0.0%,0.0%
"Mengden, Daniel's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,8,100.0%,62.5%,37.5%,37.5%,37.5%,12.5%,75.0%,60.0%,25.0%,100.0%,37.5%,100.0%,0.0%,0.0%
"Miller, Tyson's SI",3065 pitches for 778 pitchers,Sinker (SI/FT),Pitcher Pitch,8,100.0%,62.5%,62.5%,0.0%,37.5%,25.0%,37.5%,0.0%,25.0%,0.0%,62.5%,125.0%,0.0%,0.0%
"Neidert, Nick's SL",3065 pitches for 778 pitchers,Slider (SL),Pitcher Pitch,8,100.0%,75.0%,62.5%,12.5%,25.0%,25.0%,37.5%,16.7%,12.5%,0.0%,50.0%,112.5%,0.0%,0.0%
"O'Brien, Riley's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,8,100.0%,75.0%,75.0%,12.5%,25.0%,25.0%,37.5%,16.7%,12.5%,0.0%,75.0%,37.5%,0.0%,0.0%
"Romero, Tommy's FS",3065 pitches for 778 pitchers,Split-finger (FS),Pitcher Pitch,8,100.0%,75.0%,50.0%,25.0%,25.0%,37.5%,50.0%,33.3%,0.0%,60.0%,37.5%,112.5%,0.0%,0.0%
"Saucedo, Tayler's SL",3065 pitches for 778 pitchers,Slider (SL),Pitcher Pitch,8,100.0%,75.0%,62.5%,12.5%,25.0%,12.5%,37.5%,16.7%,12.5%,0.0%,62.5%,50.0%,0.0%,0.0%
"Schmidt, Clarke's CH",3065 pitches for 778 pitchers,Change-up (CH),Pitcher Pitch,8,100.0%,62.5%,62.5%,0.0%,37.5%,12.5%,37.5%,0.0%,12.5%,0.0%,25.0%,125.0%,0.0%,0.0%
"Stephens, Jackson's SL",3065 pitches for 778 pitchers,Slider (SL),Pitcher Pitch,8,100.0%,75.0%,62.5%,12.5%,25.0%,37.5%,37.5%,16.7%,12.5%,50.0%,37.5%,112.5%,0.0%,0.0%
"Strange-Gordon, Dee's FA",3065 pitches for 778 pitchers,Other Pitch,Pitcher Pitch,8,100.0%,75.0%,75.0%,0.0%,25.0%,37.5%,25.0%,0.0%,25.0%,,25.0%,125.0%,0.0%,0.0%
"Strzelecki, Peter's CH",3065 pitches for 778 pitchers,Change-up (CH),Pitcher Pitch,8,100.0%,62.5%,37.5%,25.0%,25.0%,0.0%,50.0%,40.0%,0.0%,150.0%,50.0%,87.5%,0.0%,0.0%
"Sulser, Beau's CU",3065 pitches for 778 pitchers,Curve (CU/KC),Pitcher Pitch,8,100.0%,87.5%,75.0%,12.5%,12.5%,12.5%,25.0%,14.3%,12.5%,0.0%,62.5%,87.5%,0.0%,0.0%
"Taylor, Michael A.'s SL",3065 pitches for 778 pitchers,Slider (SL),Pitcher Pitch,8,100.0%,50.0%,37.5%,12.5%,50.0%,12.5%,62.5%,25.0%,37.5%,200.0%,25.0%,112.5%,0.0%,0.0%
"Thornburg, Tyler's SL",3065 pitches for 778 pitchers,Slider (SL),Pitcher Pitch,8,100.0%,62.5%,62.5%,0.0%,37.5%,25.0%,37.5%,0.0%,12.5%,50.0%,50.0%,87.5%,0.0%,0.0%
"Valdez, César's CH",3065 pitches for 778 pitchers,Change-up (CH),Pitcher Pitch,8,100.0%,100.0%,87.5%,12.5%,0.0%,37.5%,12.5%,12.5%,0.0%,0.0%,37.5%,100.0%,0.0%,0.0%
"Walsh, Jake's CU",3065 pitches for 778 pitchers,Curve (CU/KC),Pitcher Pitch,8,100.0%,50.0%,37.5%,25.0%,50.0%,0.0%,75.0%,50.0%,25.0%,133.3%,37.5%,112.5%,0.0%,0.0%
"Weaver, Luke's SI",3065 pitches for 778 pitchers,Sinker (SI/FT),Pitcher Pitch,8,100.0%,62.5%,62.5%,12.5%,25.0%,50.0%,37.5%,20.0%,12.5%,100.0%,37.5%,100.0%,0.0%,0.0%
"Weems, Jordan's CU",3065 pitches for 778 pitchers,Curve (CU/KC),Pitcher Pitch,8,100.0%,75.0%,75.0%,0.0%,25.0%,37.5%,25.0%,0.0%,0.0%,25.0%,37.5%,100.0%,0.0%,0.0%
"Wentz, Joey's CH",3065 pitches for 778 pitchers,Change-up (CH),Pitcher Pitch,8,100.0%,75.0%,75.0%,0.0%,12.5%,50.0%,12.5%,0.0%,12.5%,0.0%,37.5%,125.0%,0.0%,0.0%
"Alexy, A.J.'s FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,7,100.0%,42.9%,42.9%,0.0%,42.9%,0.0%,42.9%,0.0%,42.9%,100.0%,57.1%,128.6%,0.0%,0.0%
"Anderson, Shaun's SL",3065 pitches for 778 pitchers,Slider (SL),Pitcher Pitch,7,100.0%,71.4%,71.4%,0.0%,14.3%,14.3%,14.3%,0.0%,14.3%,0.0%,42.9%,71.4%,0.0%,0.0%
"Baez, Michel's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,7,100.0%,71.4%,57.1%,14.3%,28.6%,42.9%,42.9%,20.0%,0.0%,200.0%,42.9%,85.7%,0.0%,0.0%
"Barker, Luke's FS",3065 pitches for 778 pitchers,Split-finger (FS),Pitcher Pitch,7,100.0%,71.4%,71.4%,0.0%,28.6%,14.3%,28.6%,0.0%,0.0%,50.0%,28.6%,100.0%,0.0%,0.0%
"Beeks, Jalen's FC",3065 pitches for 778 pitchers,Cutter (FC),Pitcher Pitch,7,100.0%,100.0%,100.0%,0.0%,0.0%,42.9%,0.0%,0.0%,14.3%,0.0%,57.1%,42.9%,0.0%,0.0%
"Bender, Anthony's CH",3065 pitches for 778 pitchers,Change-up (CH),Pitcher Pitch,7,100.0%,28.6%,28.6%,0.0%,57.1%,0.0%,57.1%,0.0%,0.0%,,28.6%,114.3%,0.0%,0.0%
"Brault, Steven's SL",3065 pitches for 778 pitchers,Slider (SL),Pitcher Pitch,7,100.0%,85.7%,85.7%,0.0%,14.3%,42.9%,14.3%,0.0%,14.3%,100.0%,71.4%,128.6%,0.0%,0.0%
"Brazoban, Huascar's SI",3065 pitches for 778 pitchers,Sinker (SI/FT),Pitcher Pitch,7,100.0%,71.4%,71.4%,0.0%,28.6%,14.3%,28.6%,0.0%,28.6%,,42.9%,114.3%,0.0%,0.0%
"Castellani, Ryan's SI",3065 pitches for 778 pitchers,Sinker (SI/FT),Pitcher Pitch,7,100.0%,85.7%,85.7%,0.0%,14.3%,57.1%,14.3%,0.0%,14.3%,0.0%,57.1%,57.1%,0.0%,0.0%
"Chang, Yu's EP",3065 pitches for 778 pitchers,Other Pitch,Pitcher Pitch,7,100.0%,85.7%,85.7%,0.0%,14.3%,28.6%,14.3%,0.0%,14.3%,,85.7%,42.9%,0.0%,0.0%
"Duron, Nick's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,7,100.0%,71.4%,71.4%,0.0%,28.6%,28.6%,28.6%,0.0%,0.0%,33.3%,14.3%,85.7%,0.0%,0.0%
"Ellis, Chris's CH",3065 pitches for 778 pitchers,Change-up (CH),Pitcher Pitch,7,100.0%,85.7%,85.7%,0.0%,14.3%,14.3%,14.3%,0.0%,14.3%,,85.7%,28.6%,0.0%,0.0%
"Erlin, Robbie's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,7,100.0%,85.7%,85.7%,0.0%,14.3%,57.1%,14.3%,0.0%,0.0%,0.0%,71.4%,71.4%,0.0%,0.0%
"Ford, Mike's FA",3065 pitches for 778 pitchers,Other Pitch,Pitcher Pitch,7,100.0%,85.7%,85.7%,0.0%,14.3%,28.6%,14.3%,0.0%,28.6%,,28.6%,114.3%,0.0%,0.0%
"Gaddis, Hunter's CH",3065 pitches for 778 pitchers,Change-up (CH),Pitcher Pitch,7,100.0%,57.1%,14.3%,42.9%,42.9%,14.3%,85.7%,75.0%,14.3%,50.0%,71.4%,71.4%,0.0%,0.0%
"González, Luis's FA",3065 pitches for 778 pitchers,Other Pitch,Pitcher Pitch,7,100.0%,57.1%,57.1%,0.0%,42.9%,28.6%,42.9%,0.0%,14.3%,0.0%,14.3%,100.0%,0.0%,0.0%
"Holton, Tyler's CH",3065 pitches for 778 pitchers,Change-up (CH),Pitcher Pitch,7,100.0%,85.7%,57.1%,28.6%,14.3%,28.6%,42.9%,33.3%,14.3%,100.0%,42.9%,157.1%,0.0%,0.0%
"Hudson, Daniel's SI",3065 pitches for 778 pitchers,Sinker (SI/FT),Pitcher Pitch,7,100.0%,85.7%,85.7%,0.0%,14.3%,28.6%,14.3%,0.0%,14.3%,,42.9%,85.7%,0.0%,0.0%
"Junk, Janson's CU",3065 pitches for 778 pitchers,Curve (CU/KC),Pitcher Pitch,7,100.0%,71.4%,71.4%,0.0%,28.6%,14.3%,28.6%,0.0%,28.6%,100.0%,85.7%,28.6%,0.0%,0.0%
"Kay, Anthony's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,7,100.0%,42.9%,42.9%,14.3%,42.9%,14.3%,57.1%,33.3%,28.6%,,42.9%,128.6%,0.0%,0.0%
"Kelley, Trevor's CH",3065 pitches for 778 pitchers,Change-up (CH),Pitcher Pitch,7,100.0%,57.1%,42.9%,14.3%,42.9%,0.0%,57.1%,25.0%,0.0%,50.0%,14.3%,114.3%,0.0%,0.0%
"Kilian, Caleb's CU",3065 pitches for 778 pitchers,Curve (CU/KC),Pitcher Pitch,7,100.0%,57.1%,57.1%,0.0%,42.9%,42.9%,42.9%,0.0%,28.6%,50.0%,71.4%,42.9%,0.0%,0.0%
"Koch, Matt's SL",3065 pitches for 778 pitchers,Slider (SL),Pitcher Pitch,7,100.0%,71.4%,57.1%,14.3%,28.6%,28.6%,42.9%,20.0%,28.6%,200.0%,57.1%,85.7%,0.0%,0.0%
"Lowther, Zac's CH",3065 pitches for 778 pitchers,Change-up (CH),Pitcher Pitch,7,100.0%,71.4%,71.4%,0.0%,28.6%,28.6%,28.6%,0.0%,28.6%,0.0%,28.6%,142.9%,0.0%,0.0%
"Lugo, Seth's CH",3065 pitches for 778 pitchers,Change-up (CH),Pitcher Pitch,7,100.0%,71.4%,71.4%,0.0%,14.3%,57.1%,14.3%,0.0%,,0.0%,71.4%,71.4%,0.0%,0.0%
"Means, John's CU",3065 pitches for 778 pitchers,Curve (CU/KC),Pitcher Pitch,7,100.0%,57.1%,28.6%,28.6%,42.9%,0.0%,71.4%,50.0%,28.6%,0.0%,57.1%,114.3%,0.0%,0.0%
"Melancon, Mark's FS",3065 pitches for 778 pitchers,Split-finger (FS),Pitcher Pitch,7,100.0%,85.7%,57.1%,28.6%,14.3%,0.0%,42.9%,33.3%,0.0%,,28.6%,100.0%,0.0%,0.0%
"Moran, Brian's CU",3065 pitches for 778 pitchers,Curve (CU/KC),Pitcher Pitch,7,100.0%,85.7%,28.6%,57.1%,14.3%,14.3%,71.4%,66.7%,14.3%,0.0%,14.3%,100.0%,0.0%,0.0%
"Mushinski, Parker's SL",3065 pitches for 778 pitchers,Slider (SL),Pitcher Pitch,7,100.0%,42.9%,28.6%,14.3%,14.3%,0.0%,28.6%,33.3%,0.0%,,28.6%,128.6%,0.0%,0.0%
"Naile, James's FC",3065 pitches for 778 pitchers,Cutter (FC),Pitcher Pitch,7,100.0%,71.4%,71.4%,0.0%,28.6%,42.9%,28.6%,0.0%,28.6%,100.0%,57.1%,71.4%,0.0%,0.0%
"Neidert, Nick's CU",3065 pitches for 778 pitchers,Curve (CU/KC),Pitcher Pitch,7,100.0%,42.9%,42.9%,0.0%,57.1%,42.9%,57.1%,0.0%,28.6%,0.0%,42.9%,85.7%,0.0%,0.0%
"Ogando, Cristofer's SL",3065 pitches for 778 pitchers,Slider (SL),Pitcher Pitch,7,100.0%,100.0%,85.7%,14.3%,0.0%,85.7%,14.3%,14.3%,0.0%,0.0%,28.6%,71.4%,0.0%,0.0%
"Patiño, Luis's CH",3065 pitches for 778 pitchers,Change-up (CH),Pitcher Pitch,7,100.0%,57.1%,57.1%,0.0%,28.6%,14.3%,28.6%,0.0%,0.0%,,57.1%,85.7%,0.0%,0.0%
"Phillips, Evan's SI",3065 pitches for 778 pitchers,Sinker (SI/FT),Pitcher Pitch,7,100.0%,28.6%,28.6%,0.0%,71.4%,14.3%,71.4%,0.0%,14.3%,,28.6%,85.7%,0.0%,0.0%
"Pinder, Chad's FA",3065 pitches for 778 pitchers,Other Pitch,Pitcher Pitch,7,100.0%,57.1%,57.1%,0.0%,42.9%,28.6%,42.9%,0.0%,14.3%,0.0%,42.9%,85.7%,0.0%,0.0%
"Rogers, Tyler's SI",3065 pitches for 778 pitchers,Sinker (SI/FT),Pitcher Pitch,7,100.0%,85.7%,85.7%,0.0%,14.3%,42.9%,14.3%,0.0%,0.0%,20.0%,28.6%,114.3%,0.0%,0.0%
"Rondón, Angel's CH",3065 pitches for 778 pitchers,Change-up (CH),Pitcher Pitch,7,100.0%,42.9%,28.6%,14.3%,42.9%,14.3%,57.1%,33.3%,14.3%,100.0%,14.3%,114.3%,0.0%,0.0%
"Severino, Luis's SI",3065 pitches for 778 pitchers,Sinker (SI/FT),Pitcher Pitch,7,100.0%,57.1%,57.1%,0.0%,42.9%,28.6%,42.9%,0.0%,28.6%,50.0%,28.6%,85.7%,0.0%,0.0%
"Strickland, Hunter's CH",3065 pitches for 778 pitchers,Change-up (CH),Pitcher Pitch,7,100.0%,85.7%,71.4%,14.3%,14.3%,28.6%,28.6%,16.7%,0.0%,200.0%,42.9%,57.1%,0.0%,0.0%
"Velasquez, Vince's CU",3065 pitches for 778 pitchers,Curve (CU/KC),Pitcher Pitch,7,100.0%,28.6%,28.6%,14.3%,71.4%,14.3%,85.7%,50.0%,14.3%,100.0%,57.1%,71.4%,0.0%,0.0%
"Verlander, Justin's CH",3065 pitches for 778 pitchers,Change-up (CH),Pitcher Pitch,7,100.0%,85.7%,57.1%,28.6%,14.3%,14.3%,42.9%,33.3%,14.3%,133.3%,28.6%,200.0%,0.0%,0.0%
"Weaver, Luke's CU",3065 pitches for 778 pitchers,Curve (CU/KC),Pitcher Pitch,7,100.0%,42.9%,42.9%,0.0%,57.1%,14.3%,57.1%,0.0%,42.9%,0.0%,57.1%,57.1%,0.0%,0.0%
"Williams, Devin's FC",3065 pitches for 778 pitchers,Cutter (FC),Pitcher Pitch,7,100.0%,28.6%,14.3%,14.3%,57.1%,0.0%,71.4%,50.0%,42.9%,,57.1%,114.3%,0.0%,0.0%
"Woodford, Jake's CH",3065 pitches for 778 pitchers,Change-up (CH),Pitcher Pitch,7,100.0%,57.1%,57.1%,0.0%,14.3%,28.6%,14.3%,0.0%,0.0%,0.0%,28.6%,128.6%,0.0%,0.0%
"Woods, William's SL",3065 pitches for 778 pitchers,Slider (SL),Pitcher Pitch,7,100.0%,85.7%,71.4%,14.3%,14.3%,42.9%,28.6%,16.7%,14.3%,0.0%,57.1%,85.7%,0.0%,0.0%
"Zerpa, Angel's SI",3065 pitches for 778 pitchers,Sinker (SI/FT),Pitcher Pitch,7,100.0%,42.9%,42.9%,0.0%,57.1%,0.0%,57.1%,0.0%,28.6%,0.0%,71.4%,114.3%,0.0%,0.0%
"Alldred, Cam's SI",3065 pitches for 778 pitchers,Sinker (SI/FT),Pitcher Pitch,6,100.0%,50.0%,50.0%,0.0%,50.0%,50.0%,50.0%,0.0%,50.0%,0.0%,33.3%,100.0%,0.0%,0.0%
"Alldred, Cam's SL",3065 pitches for 778 pitchers,Slider (SL),Pitcher Pitch,6,100.0%,83.3%,66.7%,16.7%,16.7%,16.7%,33.3%,20.0%,,33.3%,33.3%,66.7%,0.0%,0.0%
"Bard, Daniel's CH",3065 pitches for 778 pitchers,Change-up (CH),Pitcher Pitch,6,100.0%,66.7%,50.0%,16.7%,33.3%,16.7%,50.0%,25.0%,0.0%,0.0%,50.0%,50.0%,0.0%,0.0%
"Castillo, Diego's FA",3065 pitches for 778 pitchers,Other Pitch,Pitcher Pitch,6,100.0%,100.0%,100.0%,0.0%,0.0%,16.7%,0.0%,0.0%,0.0%,0.0%,33.3%,166.7%,0.0%,0.0%
"Chacín, Jhoulys's CH",3065 pitches for 778 pitchers,Change-up (CH),Pitcher Pitch,6,100.0%,66.7%,50.0%,16.7%,0.0%,33.3%,16.7%,25.0%,0.0%,0.0%,16.7%,150.0%,0.0%,0.0%
"Cleavinger, Garrett's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,6,100.0%,83.3%,83.3%,0.0%,0.0%,50.0%,0.0%,0.0%,0.0%,66.7%,33.3%,133.3%,0.0%,0.0%
"Cotton, Jharel's CU",3065 pitches for 778 pitchers,Curve (CU/KC),Pitcher Pitch,6,100.0%,33.3%,33.3%,0.0%,66.7%,0.0%,66.7%,0.0%,50.0%,50.0%,0.0%,250.0%,0.0%,0.0%
"Coulombe, Danny's SI",3065 pitches for 778 pitchers,Sinker (SI/FT),Pitcher Pitch,6,100.0%,50.0%,50.0%,0.0%,50.0%,33.3%,50.0%,0.0%,33.3%,,33.3%,100.0%,0.0%,0.0%
"Darvish, Yu's KC",3065 pitches for 778 pitchers,Curve (CU/KC),Pitcher Pitch,6,100.0%,50.0%,50.0%,0.0%,33.3%,16.7%,33.3%,0.0%,16.7%,0.0%,66.7%,50.0%,0.0%,0.0%
"Davidson, Tucker's SI",3065 pitches for 778 pitchers,Sinker (SI/FT),Pitcher Pitch,6,100.0%,66.7%,66.7%,0.0%,33.3%,50.0%,33.3%,0.0%,33.3%,0.0%,66.7%,50.0%,0.0%,0.0%
"De Jong, Chase's CH",3065 pitches for 778 pitchers,Change-up (CH),Pitcher Pitch,6,100.0%,83.3%,83.3%,0.0%,16.7%,33.3%,16.7%,0.0%,0.0%,0.0%,50.0%,100.0%,0.0%,0.0%
"Erlin, Robbie's CU",3065 pitches for 778 pitchers,Curve (CU/KC),Pitcher Pitch,6,100.0%,50.0%,50.0%,0.0%,50.0%,33.3%,50.0%,0.0%,83.3%,,33.3%,100.0%,0.0%,0.0%
"Gaddis, Hunter's FC",3065 pitches for 778 pitchers,Cutter (FC),Pitcher Pitch,6,100.0%,66.7%,66.7%,0.0%,33.3%,33.3%,33.3%,0.0%,16.7%,0.0%,50.0%,100.0%,0.0%,0.0%
"Gallen, Zac's SL",3065 pitches for 778 pitchers,Slider (SL),Pitcher Pitch,6,100.0%,66.7%,66.7%,0.0%,33.3%,33.3%,33.3%,0.0%,16.7%,50.0%,33.3%,150.0%,0.0%,0.0%
"Gordon, Nick's SL",3065 pitches for 778 pitchers,Slider (SL),Pitcher Pitch,6,100.0%,83.3%,83.3%,0.0%,16.7%,0.0%,16.7%,0.0%,16.7%,,66.7%,83.3%,0.0%,0.0%
"Greene, Shane's SI",3065 pitches for 778 pitchers,Sinker (SI/FT),Pitcher Pitch,6,100.0%,83.3%,83.3%,0.0%,16.7%,33.3%,16.7%,0.0%,16.7%,100.0%,50.0%,50.0%,0.0%,0.0%
"Grove, Michael's CU",3065 pitches for 778 pitchers,Curve (CU/KC),Pitcher Pitch,6,100.0%,33.3%,16.7%,16.7%,50.0%,16.7%,66.7%,50.0%,0.0%,,50.0%,83.3%,0.0%,0.0%
"Hader, Josh's CH",3065 pitches for 778 pitchers,Change-up (CH),Pitcher Pitch,6,100.0%,100.0%,100.0%,0.0%,0.0%,50.0%,0.0%,0.0%,16.7%,0.0%,16.7%,133.3%,0.0%,0.0%
"Harvey, Hunter's FS",3065 pitches for 778 pitchers,Split-finger (FS),Pitcher Pitch,6,100.0%,66.7%,66.7%,0.0%,16.7%,50.0%,16.7%,0.0%,16.7%,0.0%,50.0%,50.0%,0.0%,0.0%
"Hernandez, Darwinzon's CU",3065 pitches for 778 pitchers,Curve (CU/KC),Pitcher Pitch,6,100.0%,66.7%,50.0%,16.7%,33.3%,16.7%,50.0%,25.0%,16.7%,50.0%,50.0%,183.3%,0.0%,0.0%
"Hernández, Jonathan's CH",3065 pitches for 778 pitchers,Change-up (CH),Pitcher Pitch,6,100.0%,33.3%,16.7%,16.7%,33.3%,0.0%,50.0%,50.0%,0.0%,50.0%,0.0%,100.0%,0.0%,0.0%
"Hudson, Daniel's CH",3065 pitches for 778 pitchers,Change-up (CH),Pitcher Pitch,6,100.0%,83.3%,66.7%,16.7%,16.7%,33.3%,33.3%,20.0%,16.7%,50.0%,33.3%,66.7%,0.0%,0.0%
"Kay, Anthony's SL",3065 pitches for 778 pitchers,Slider (SL),Pitcher Pitch,6,100.0%,50.0%,50.0%,0.0%,50.0%,33.3%,50.0%,0.0%,16.7%,0.0%,66.7%,66.7%,0.0%,0.0%
"Loáisiga, Jonathan's SL",3065 pitches for 778 pitchers,Slider (SL),Pitcher Pitch,6,100.0%,83.3%,33.3%,50.0%,16.7%,16.7%,66.7%,60.0%,16.7%,100.0%,16.7%,150.0%,0.0%,0.0%
"Manning, Matt's CH",3065 pitches for 778 pitchers,Change-up (CH),Pitcher Pitch,6,100.0%,83.3%,50.0%,33.3%,16.7%,16.7%,50.0%,40.0%,,,33.3%,133.3%,0.0%,0.0%
"Menez, Conner's SL",3065 pitches for 778 pitchers,Slider (SL),Pitcher Pitch,6,100.0%,66.7%,66.7%,0.0%,33.3%,50.0%,33.3%,0.0%,16.7%,0.0%,66.7%,50.0%,0.0%,0.0%
"Mengden, Daniel's CU",3065 pitches for 778 pitchers,Curve (CU/KC),Pitcher Pitch,6,100.0%,50.0%,50.0%,0.0%,33.3%,33.3%,33.3%,0.0%,33.3%,0.0%,16.7%,100.0%,0.0%,0.0%
"Mize, Casey's KC",3065 pitches for 778 pitchers,Curve (CU/KC),Pitcher Pitch,6,100.0%,83.3%,83.3%,0.0%,16.7%,33.3%,16.7%,0.0%,33.3%,0.0%,83.3%,50.0%,0.0%,0.0%
"Moran, Brian's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,6,100.0%,100.0%,100.0%,16.7%,0.0%,66.7%,16.7%,16.7%,33.3%,0.0%,50.0%,116.7%,0.0%,0.0%
"Neidert, Nick's CH",3065 pitches for 778 pitchers,Change-up (CH),Pitcher Pitch,6,100.0%,100.0%,66.7%,33.3%,0.0%,66.7%,33.3%,33.3%,0.0%,0.0%,66.7%,83.3%,0.0%,0.0%
"Ortega, Oliver's FC",3065 pitches for 778 pitchers,Cutter (FC),Pitcher Pitch,6,100.0%,50.0%,33.3%,16.7%,50.0%,16.7%,66.7%,33.3%,33.3%,,66.7%,50.0%,0.0%,0.0%
"Owings, Chris's FA",3065 pitches for 778 pitchers,Other Pitch,Pitcher Pitch,6,100.0%,66.7%,66.7%,0.0%,33.3%,0.0%,33.3%,0.0%,33.3%,0.0%,50.0%,66.7%,0.0%,0.0%
"Paredes, Enoli's SL",3065 pitches for 778 pitchers,Slider (SL),Pitcher Pitch,6,100.0%,66.7%,66.7%,0.0%,33.3%,33.3%,33.3%,0.0%,33.3%,0.0%,33.3%,83.3%,0.0%,0.0%
"Poteet, Cody's CU",3065 pitches for 778 pitchers,Curve (CU/KC),Pitcher Pitch,6,100.0%,50.0%,33.3%,16.7%,50.0%,33.3%,66.7%,33.3%,50.0%,0.0%,33.3%,100.0%,0.0%,0.0%
"Pujols, Albert's FA",3065 pitches for 778 pitchers,Other Pitch,Pitcher Pitch,6,100.0%,50.0%,50.0%,0.0%,33.3%,50.0%,33.3%,0.0%,50.0%,,33.3%,133.3%,0.0%,0.0%
"Rodriguez, Elvin's SI",3065 pitches for 778 pitchers,Sinker (SI/FT),Pitcher Pitch,6,100.0%,66.7%,66.7%,0.0%,33.3%,16.7%,33.3%,0.0%,,,50.0%,66.7%,0.0%,0.0%
"Rodríguez, Joely's SL",3065 pitches for 778 pitchers,Slider (SL),Pitcher Pitch,6,100.0%,50.0%,16.7%,33.3%,16.7%,16.7%,50.0%,66.7%,33.3%,100.0%,16.7%,100.0%,0.0%,0.0%
"Romero, Jhon's SL",3065 pitches for 778 pitchers,Slider (SL),Pitcher Pitch,6,100.0%,50.0%,33.3%,16.7%,50.0%,16.7%,66.7%,33.3%,16.7%,100.0%,50.0%,183.3%,0.0%,0.0%
"Rossman, Bubby's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,6,100.0%,66.7%,33.3%,33.3%,33.3%,0.0%,66.7%,50.0%,16.7%,,66.7%,100.0%,0.0%,0.0%
"Severino, Anderson's SL",3065 pitches for 778 pitchers,Slider (SL),Pitcher Pitch,6,100.0%,83.3%,66.7%,16.7%,16.7%,33.3%,33.3%,20.0%,33.3%,150.0%,33.3%,116.7%,0.0%,0.0%
"Shaw, Bryan's CH",3065 pitches for 778 pitchers,Change-up (CH),Pitcher Pitch,6,100.0%,50.0%,33.3%,16.7%,50.0%,16.7%,66.7%,33.3%,50.0%,0.0%,66.7%,100.0%,0.0%,0.0%
"Simmons, Andrelton's FA",3065 pitches for 778 pitchers,Other Pitch,Pitcher Pitch,6,100.0%,66.7%,50.0%,16.7%,33.3%,0.0%,50.0%,25.0%,33.3%,,16.7%,83.3%,0.0%,0.0%
"St. John, Locke's SL",3065 pitches for 778 pitchers,Slider (SL),Pitcher Pitch,6,100.0%,83.3%,33.3%,50.0%,16.7%,16.7%,66.7%,60.0%,16.7%,150.0%,33.3%,116.7%,0.0%,0.0%
